Ano-Calendário;Ocupação Principal do Declarante;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;Gerente ou superv. empresa indust., comerc. ou prest. serv.;761322;61535,10941;12469,05528;39503,74461;2540,954014;1655,31739;0,72597874;884,9106457;870,4316582;685,4576096;2170,157634;37,70466135;494,9307616;420,1347912;74,58353323;0,21243715;3777,070046;50958,41045;8462,269666;9,27059206;8452,999074;25,69046461;8478,61878;8580,367477;538,5115988;752,1060929;34924,45302;3490,370422;399954,3205;2352,533368;780,8760617;0,96642516;227,535581;2432,657507;2721,19351;452,4699926;81,09183491;289,2527676;5,30208657;870,3101073;1053,650062
2020;Gerente ou superv. empresa pública e soc. de economia mista;39835;5629,044547;905,4141902;1005,965199;485,1949965;196,8415;0,07319579;288,2803007;79,47639914;66,88344044;285,298999;2,18446659;58,12711313;51,95941839;6,15080696;0,01688778;135,2268313;4516,652817;881,3186921;1,65696976;879,6617224;3,22751446;882,8888883;896,5228716;47,08074017;61,48864177;3820,041767;67,37173755;20018,84319;108,802138;264,2917722;0,65370732;43,39825523;204,7252603;309,8120258;52,84452083;6,21030681;20,56239434;0,05175;74,26209453;23,17044087
2020;Presidente, diretor, gerente, superv. organ. internac. e ONG;11568;989,2689085;145,1129482;522,1644045;37,31343796;23,44612461;0,008706;13,85860735;10,07432948;7,95581862;32,98320359;0,88256886;5,13737805;4,3495736;0,78780445;0;53,89778181;841,0243901;155,0067921;0,28835563;154,7184365;0,27934289;154,9977794;156,0006781;10,28889726;13,94425219;403,2010746;43,45279978;6209,23411;36,7880792;12,97992307;0,10683445;2,49440262;32,17627018;41,87744876;4,70790198;0,89328214;3,28742915;0,02;19,63317248;12,90498408
2020;Matemático, estatístico, atuário e afins;23982;2298,662678;455,2786476;578,6694326;137,4623293;99,01526368;0,112309;38,33475661;27,52388958;21,61926219;93,02835607;1,08501035;13,89182568;11,93438923;1,94061224;0,01682421;141,4070579;1862,644947;306,9553777;0,33863077;306,6167469;0,70126985;307,3172808;316,0900104;19,77482999;29,4497767;519,9768188;54,41066146;7537,651282;48,91567136;36,53140989;3,0919002;6,83458574;71,02603049;113,8271751;12,34864837;2,1228783;6,42498334;0;33,92615619;10,16997374
2020;Analista de sist., desenv.de soft., adm.de redes e banco etc;419420;38172,83975;6521,972874;10730,08926;1768,423105;1149,905132;0,59962945;617,9183435;457,7129163;380,5843745;1091,397658;8,20402483;280,1662457;243,2146809;36,90660022;0,04496463;2829,192861;31357,1627;5080,766605;4,69813081;5076,068474;20,27559162;5095,939116;5413,482749;162,197284;520,2748887;8600,302277;906,8745468;119865,2745;581,8630888;542,4922216;15,2494736;157,2581899;1339,613426;1400,091167;262,8258188;40,56562749;146,7045805;0,07508745;554,7069602;180,0794014
2020;Físico, químico, meteorolog., geólogo, oceanógrafo e afins;40782;5131,182709;754,1627968;1567,192376;337,0250042;209,5858983;0,07023295;127,3688729;48,4887522;39,10148481;207,0076343;0,78005036;39,51158106;33,22584483;6,28566378;0,00007245;211,751345;4247,516857;819,243867;1,29694559;817,9469214;1,91734214;819,8642635;838,4439756;36,57162424;62,22793088;1138,485107;189,0057155;21451,97412;240,2098971;110,2382354;5,64442506;27,67337981;145,5523433;244,1569046;34,34768924;6,71098392;19,14630884;0,14100448;92,48287145;66,59803729
2020;Engenheiro, arquiteto e afins;539915;60409,94522;14041,25722;36026,22061;3476,419509;1834,007315;1,56865654;1640,843538;612,7348729;556,0410149;2388,137583;61,90482097;461,9017221;387,7647015;73,96028932;0,17673133;2785,268472;50067,53696;9494,912401;15,35406266;9479,558339;20,85797984;9500,347096;9689,483813;462,2276585;743,3168625;28037,72646;4345,227279;463189,1916;2930,910127;1439,117258;21,41165494;409,8107764;2325,08498;3003,519275;424,729386;84,36337422;327,3172135;2,2650889;1210,735547;1662,278116
2020;Piloto de aeronaves, comandante de embarc., oficiais de máq.;12897;2547,126496;423,1058115;827,6838737;108,9853506;54,36508353;0;54,62026707;22,01443827;19,44657669;85,43205737;1,11336528;50,12828315;43,83018802;6,29809513;0;71,66657196;2188,339853;484,0028948;0,28382932;483,7190655;0,34069847;484,0597639;502,836915;21,29556852;43,36388541;861,3994395;57,52837333;11506,05842;73,39655484;44,4938425;0,0115356;15,48860974;80,69664744;96,78573313;44,86547945;6,50371619;11,54792838;0,03337;32,94993501;14,12038961
2020;Biólogo, biomédico e afins;66366;5094,047186;581,9725928;1462,979442;288,8361194;247,4602205;0,14678707;41,2291118;55,57786766;51,44728039;253,7189327;7,27303015;20,44043261;17,36036034;3,08007227;0;360,384237;4056,369286;583,1913611;0,52681469;582,6645464;0,83415864;583,4985459;597,5794445;53,09426381;68,86470028;1343,010255;285,9440232;18399,46084;142,0927214;34,5422722;5,45606039;10,70282964;166,4068872;305,5894103;18,14699091;3,19683166;15,40134391;0,2305799;64,70007217;50,74891424
2020;Agrônomo e afins;40606;5097,707799;1029,607544;2565,015087;298,0788326;191,2359819;0,02678006;106,8160707;55,62527134;43,2827956;219,0691972;2,57191515;41,60751673;35,15091874;6,45629708;0,00030091;205,404093;4232,068177;815,020741;1,81757254;813,2031685;1,50171324;814,6476891;801,7264234;76,05539637;64,48196035;2523,183191;272,3348998;28861,35399;229,2441246;79,10409072;1,15976805;41,3949164;143,07686;253,1801672;37,25414711;7,07708115;13,45405712;6,44018147;62,05385987;74,39017624
2020;Profissional da educação física (exceto professor);31377;1203,231896;120,6446374;357,2007121;46,1682094;41,52792554;0,0222048;4,61807906;18,77102461;13,63827254;52,61259646;4,5423469;8,03723664;6,94137566;1,05418153;0,04167945;125,0238618;934,4383473;75,63662524;0,05192567;75,58469957;0,05888376;75,64358333;76,76558407;11,64814895;13,461847;528,0498305;89,18231577;4847,424291;30,07590851;5,1876887;0,26802342;1,34587083;39,60119115;72,71397635;8,22324194;1,26756601;4,69007277;0,010386;16,83986804;4,37059673
2020;Médico;414431;77410,38064;12201,97358;60560,46194;5446,619765;4152,948912;0,996791;1292,674062;518,7934751;528,2237908;3765,47647;3855,96564;715,2126615;620,8049243;94,08162254;0,32611461;1221,048653;61359,03722;13477,32402;39,7783495;13437,54567;17,66224631;13455,20155;12623,40053;1705,303982;896,0218522;30582,10412;3592,541327;461384,4515;4358,030018;1318,003978;24,36608215;164,2123987;3010,438455;4235,329216;666,5608071;103,2420638;232,7500018;3,84053133;968,0029791;1197,0719
2020;Odontólogo;207813;17281,22664;1485,048738;5907,057252;820,155326;704,8704119;0,1645061;115,1204079;185,1344875;195,7079595;999,3436406;3866,460522;90,36345715;79,33070726;10,99921585;0,03353404;679,2766754;10444,78457;1337,130336;1,7408688;1335,389468;3,84622368;1339,235691;1156,081352;314,3260618;146,4435748;7699,85343;1289,508907;95395,57792;636,9549457;119,1040381;2,09544013;20,28325677;733,0724594;1140,882792;85,27803254;11,57661297;59,16925711;0,82509978;168,1916204;166,2501594
2020;Enfermeiro nível sup., nutricionista, farmacêutico e afins;539619;38101,71191;3271,226716;5201,210066;1883,325869;1744,489919;0,65767689;138,1782732;546,4597712;520,062705;1805,814214;22,43357595;95,08076441;83,77071346;11,08848825;0,2215627;3279,479365;29949,06134;3609,700122;2,18529364;3607,514829;4,41494542;3611,915401;3679,945519;500,3323395;571,7496512;8471,485686;786,9460282;69059,33899;493,4856565;129,1933811;9,73424652;31,9751382;1331,170056;2153,276073;86,43689691;11,57803774;64,63564514;0,46025707;272,7761185;108,9654728
