Ano-Calendário;Tipo de Formulário de Declaração;Município;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;modelo completo;Acauã - PI;49;2,30199516;0,21852688;0,17541023;0,23189901;0,23052649;0;0,00137252;0,15290528;0,04205255;0,1382656;0;0,05215798;0,05215798;0;0;0;1,68471474;0,10544057;0;0,10544057;0,00580696;0,11124753;0,1149282;0,01640241;0,02008308;0,16376994;0;2,32788803;0;0,00137252;0;0;0,06207021;0,1382656;0,05246798;0;0;0;0;0
2020;modelo completo;Aceguá - RS;105;4,9669717;0,40569064;2,17383728;0,41726897;0,37977159;0;0,03749738;0,20483783;0,04742042;0,40738343;0,00332133;0,1537528;0,10665585;0,04709695;0;0;3,73298692;0,39135785;0,00250556;0,38885229;0;0,38885229;0,37229334;0,06957586;0,05301691;0,92295289;0,19978625;17,68809244;0;0,02172878;0;0,0157686;0,07498692;0,46372288;0,10665585;0,04709695;0,0003;0,00672386;0;0
2020;modelo completo;Acopiara - CE;437;33,32099818;2,15204379;8,65864725;2,70535862;2,45282025;0;0,25253837;1,14891541;0,79246294;1,94008474;0,26376995;0,44489558;0,4218223;0,02307328;0;0;26,02551094;3,94243964;0,01907268;3,92336696;0,00035917;3,92372613;3,3807984;0,90029838;0,35737065;4,46887341;0;145,3075784;0,38463531;0,2191826;0,00568848;0,02766729;1,21406888;1,99451877;0,4218223;0,02307328;0,01238307;0;0,06956991;0,019135
2020;modelo completo;Acorizal - MT;306;19,07341529;1,32895694;1,9519804;1,91059416;1,9003876;0;0,01020656;0,7106479;0,70026101;1,95554349;0;0,332224;0,25440447;0,07781953;0;0;13,46414473;1,41491108;0;1,41491108;0;1,41491108;1,78535315;0,10847734;0,47891941;1,40157595;0;8,09675528;0;0,00322662;0;0,00697994;0,99874006;1,95554349;0,25440447;0,07781953;0,015954;0;0,0012;0,004
2020;modelo completo;Acrelândia - AC;194;12,34861559;0,82627984;1,77883035;1,28876183;1,17992606;0,06053943;0,04829634;0,73485084;0,15338549;0,57922014;0,04470044;0,47132066;0,47132066;0;0;0;9,07637619;1,01466306;0,00215229;1,01251077;0,0000199;1,01253067;1,04208872;0,11583411;0,14539216;2,19757397;0;13,7329569;0,07392828;0,02827886;0;0,02190569;0,23712266;0,58207014;0,47132066;0;0;0;0,012181;0
2020;modelo completo;Acreúna - GO;1095;59,87673728;8,82665878;36,89063984;4,51453306;4,38463625;0,00120123;0,12869558;2,47240117;1,09085042;6,17777581;1,35816789;0,53862317;0,53292317;0,0057;0;0;43,72438576;4,52514119;0,01541421;4,50972698;0,00956107;4,51928805;4,16200105;1,25937037;0,90208337;87,66411754;7,40275374;556,528146;1,45498598;0,11338779;0,0079294;0,01877483;1,86213479;6,44883149;0,5762205;0,068165;0,04614042;0;0,10781421;1,0358149
2020;modelo completo;Adamantina - SP;2149;170,4825981;19,78009085;82,87872573;14,4303864;12,26576436;0,00322421;2,16139783;4,52024826;2,78257113;13,34983751;3,00946027;2,54003598;2,26693599;0,26435909;0,0087409;0;129,8500586;19,74476111;0,20016039;19,54460072;0,05841945;19,60302017;18,37942824;3,15467616;1,93108423;60,97120029;9,71726495;719,2469817;6,07725319;1,86800422;0,24265908;0,30539185;6,99404298;14,57864981;2,3775739;0,26435909;0,74440856;0,52797407;1,88007549;10,15688155
2020;modelo completo;Adelândia - GO;100;3,81552032;0,40732802;0,70169579;0,33185081;0,32103346;0;0,01081735;0,17269816;0,04071912;0,44911667;0,071441;0,0159738;0,0087738;0,0072;0;0;2,73372076;0,13601458;0;0,13601458;0;0,13601458;0,21833095;0,01205357;0,09436994;3,00121341;0,13655916;12,66206674;0,00125149;0,00920663;0;0,00161072;0,09761448;0,44990542;0,0087738;0,0072;0,03138921;0;0,04645756;0,05
2020;modelo completo;Adolfo - SP;178;8,43128597;0,80440741;3,54861203;0,78341902;0,75987231;0,00051323;0,02303348;0,38448852;0,04708894;0,78587604;0;0,10912344;0,08131092;0,02781252;0;0;6,32129001;0,56334886;0;0,56334886;0;0,56334886;0,61598339;0,06235293;0,11498746;3,23876872;0,27026124;22,80512358;0,002477;0,0321338;0;0;0,1066112;0,80782653;0,10639092;0,02781252;0,00560615;0;0,00042216;0,078
2020;modelo completo;Adrianópolis - PR;132;7,4639785;0,64958894;1,69156178;0,7130934;0,68915642;0;0,02393698;0,3298866;0,06080265;0,37312059;0,17438127;0,18390702;0,14310702;0,0408;0;0;5,62878697;0,65887249;0;0,65887249;0;0,65887249;0,68208451;0,07493859;0,09815061;1,96153155;0,044415;19,12633831;0,04304771;0,02025544;0;0,00368154;0,23609809;0,38079978;0,14310702;0,0408;0,01781201;0;0,00395986;0,000736
